Product ID,Active (0/1),Name *,"Categories (x,y,z...)",Price tax excluded,Tax rules ID,Price tax included,On sale (0/1),Discount amount,Discount percent,Discount from (yyyy-mm-dd),Discount to (yyyy-mm-dd),Reference #,Supplier reference #,Supplier,Manufacturer,EAN13,UPC,MPN,Ecotax,Width,Height,Depth,Weight,Delivery time of in-stock products,Delivery time of out-of-stock products with allowed orders,Quantity,Minimal quantity,Low stock level,Receive a low stock alert by email,Visibility,Additional shipping cost,Unity,Unit price,Summary,Description,"Tags (x,y,z...)",Meta title,Meta keywords,Meta description,URL rewritten,Text when in stock,Text when backorder allowed,"Available for order (0 = No, 1 = Yes)",Product available date,Product creation date,"Show price (0 = No, 1 = Yes)","Image URLs (x,y,z...)","Image alt texts (x,y,z...)","Delete existing images (0 = No, 1 = Yes)",Feature(Name:Value:Position),"Available online only (0 = No, 1 = Yes)",Condition,"Customizable (0 = No, 1 = Yes)","Uploadable files (0 = No, 1 = Yes)","Text fields (0 = No, 1 = Yes)",Out of stock action,Virtual product,File URL,Number of allowed downloads,Expiration date,Number of days,ID / Name of shop,Advanced stock management,Depends On Stock,Warehouse,"Acessories  (x,y,z...)"
500,1,Familly Reserve Picual 500 ml,Oil & Vinegar,95,,95,0,,,,,,,,Castillo de canena,,,,,,,,500,,,200,1,0,0,both,,,,,"This premium extra virgin olive oil from Castillo de Canena offers a robust, aromatic flavor, made from the finest Picual olives, perfect for drizzling over salads or pairing with grilled meats.",,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
501,1,Familly Reserve  Arbequina 500 ml,Oil & Vinegar,95,,95,0,,,,,,,,Castillo de canena,,,,,,,,500,,,200,1,0,0,both,,,,,"A delicate and fruity extra virgin olive oil made from Arbequina olives, this family reserve offers a smooth, balanced flavor ideal for enhancing Mediterranean dishes.",,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
502,1,Familly Reserve  Picual  250 ml,Oil & Vinegar,59,,59,0,,,,,,,,Castillo de canena,,,,,,,,250,,,200,1,0,0,both,,,,,"This premium extra virgin olive oil from Castillo de Canena offers a robust, aromatic flavor, made from the finest Picual olives, perfect for drizzling over salads or pairing with grilled meats.",,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
503,1,Familly Reserve Arbequina 250 ml,Oil & Vinegar,59,,59,0,,,,,,,,Castillo de canena,,,,,,,,250,,,200,1,0,0,both,,,,,"A delicate and fruity extra virgin olive oil made from Arbequina olives, this family reserve offers a smooth, balanced flavor ideal for enhancing Mediterranean dishes.",,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
504,1,First day of harvest Picual 500ml,Oil & Vinegar,139,,139,0,,,,,,,,Castillo de canena,,,,,,,,500,,,200,1,0,0,both,,,,,"A fresh, bold extra virgin olive oil made from the first Picual olives of the harvest, offering an intense, peppery flavor that pairs beautifully with rustic breads or hearty stews.",,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
505,1,First day of harvest  Arbequina 500ml,Oil & Vinegar,139,,139,0,,,,,,,,Castillo de canena,,,,,,,,500,,,200,1,0,0,both,,,,,"This Arbequina olive oil, harvested early in the season, captures the essence of fresh fruit with a sweet, mild taste and balanced notes of almond.",,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
506,1,Smoked Arbequina 250 ml,Oil & Vinegar,89,,89,0,,,,,,,,Castillo de canena,,,,,,,,250,,,200,1,0,0,both,,,,,"A unique, aromatic olive oil infused with a gentle smoked flavor, perfect for adding depth to grilled meats, vegetables, and sauces.",,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
507,1,Biodinamico Picual 500 ml,Oil & Vinegar,129,,129,0,,,,,,,,Castillo de canena,,,,,,,,500,,,200,1,0,0,both,,,,,"Made from organically grown Picual olives, this biodynamic olive oil offers a complex, intense taste with rich grassy and peppery notes.",,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
508,1,Biodinamico Arbequina 500 ml,Oil & Vinegar,129,,129,0,,,,,,,,Castillo de canena,,,,,,,,500,,,200,1,0,0,both,,,,,"A biodynamic, organic Arbequina oil with a light, fresh flavor and subtle hints of fruit and almond, great for light salads and dressings.",,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
509,1,Harisa Olive 250 ml,Oil & Vinegar,89,,89,0,,,,,,,,Castillo de canena,,,,,,,,250,,,200,1,0,0,both,,,,,"A bold olive oil infused with the spicy, smoky flavors of harissa, ideal for adding a Middle Eastern twist to your dishes.",,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
510,1,Plankton & Arbequina 250 ml,Oil & Vinegar,199,,199,0,,,,,,,,Castillo de canena,,,,,,,,250,,,200,1,0,0,both,,,,,"A creative blend of Arbequina olive oil and plankton, offering a savory, umami-rich flavor perfect for seafood dishes.",,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
511,1,Amontillado Arbequina Olive Oil 250ml,Oil & Vinegar,95,,95,0,,,,,,,,Castillo de canena,,,,,,,,250,,,200,1,0,0,both,,,,,"This exquisite olive oil is flavored with the unique essence of Amontillado sherry, creating a sophisticated combination of nutty and woody notes.",,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
512,1,EVOO Early Royal 500 ML,Oil & Vinegar,149,,149,0,,,,,,,,Castillo de canena,,,,,,,,500,,,200,1,0,0,both,,,,,"A premium extra virgin olive oil made from the Early Royal variety, offering a delicate balance of sweetness and mild bitterness.",,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
513,1,Aove Blend 2024 SUMMA VARIETALIS 250 ml,Oil & Vinegar,79,,79,0,,,,,,,,Castillo de canena,,,,,,,,250,,,200,1,0,0,both,,,,,"A carefully crafted blend of the finest varieties, this olive oil has a harmonious flavor profile with hints of fresh herbs and green apple.",,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
514,1,Arbequina &co  Box,Oil & Vinegar,189,,189,0,,,,,,,,Castillo de canena,,,,,,,,400,,,200,1,0,0,both,,,,,"A beautiful gift set featuring a selection of Arbequina olive oils, perfect for olive oil connoisseurs or as a thoughtful culinary gift.",,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
515,1,Vinagre Balsamico Chardonnay 250ml,Oil & Vinegar,59,,59,0,,,,,,,,Castillo de canena,,,,,,,,250,,,200,1,0,0,both,,,,,"A smooth and fruity balsamic vinegar made from Chardonnay grapes, offering a light, tangy flavor ideal for dressings and marinades.",,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
516,1,Vinagre Balsamico Cabernet Sauvignon 250ml,Oil & Vinegar,59,,59,0,,,,,,,,Castillo de canena,,,,,,,,250,,,200,1,0,0,both,,,,,"A rich and robust balsamic vinegar made from Cabernet Sauvignon, perfect for drizzling over roasted vegetables or pairing with fine cheeses.",,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
517,1,Box Present 3x 250ml,Oil & Vinegar,249.00,,249.00,0,,,,,,,,Castillo de canena,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,1,VINAGRE JEREZ RSVA,Oil & Vinegar,89,,89,0,,,,,,,,Barbadillo,,,,,,,,250,,,200,1,0,0,both,,,,,"A refined Sherry vinegar aged to perfection, offering a rich, complex flavor profile with deep, mellow notes of oak and a smooth, balanced finish.",,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
522,1,VINAGRE JEREZ RSVA PX,Oil & Vinegar,89,,89,0,,,,,,,,Barbadillo,,,,,,,,250,,,200,1,0,0,both,,,,,"This luxurious Sherry vinegar is aged in barrels previously used for Pedro Ximenez wine, imparting a rich, sweet depth with hints of dried fruit and caramel.",,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
523,1,VINAGRE JEREZ RSVA MCTE,Oil & Vinegar,89,,89,0,,,,,,,,Barbadillo,,,,,,,,250,,,200,1,0,0,both,,,,,"A beautifully aged Moscatel Sherry vinegar with fragrant floral and citrus notes, delivering a harmonious balance of sweetness and acidity for a sophisticated touch in dressings and marinades.",,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
